Community;CFU mean;CFUstd;Btheta 16S (qPCR);BT_4096 (qPCR);Cscindens 16S (qPCR)
MV01;10.211;0.368;23.78;0.221;0.013
MV02;9.087;0.163;36.28;0.1;0.005
MV03;8.963;0.052;25.11;0.062;0.003
MV04;8.375;0.073;34.73;0.142;0.002
MV05;9.641;0.094;26.99;0.039;0.002
MV06;9.742;0.04;23.76;0.147;0.06
MV07;9.695;0.185;30.85;0.152;0.152
MV08;8.685;0.056;25.41;0.127;0.005
MV09;10.102;0.174;34.09;0.096;0.005
MV10;10.557;0.07;28.03;0.018;0.002
MV11;9.601;0.124;38.18;0.104;0.004
MV12;9.48;0.058;25.35;0.011;0.007
MV13;9.142;0.107;30.09;0.05;0.001
MV14;9.088;0.121;26.83;0.047;0.005
MV15;9.248;0.241;23.35;0.202;0.03
MV16;7.903;0.073;24.21;0.13;0.005
MV17;11.022;0.24;36.14;0.017;0.005
MV18;8.578;0.071;25.74;0.062;0.003
MV19;8.342;0.108;34.78;0.007;0.001
MV20;8.719;0.094;26.27;0.059;0.007
MV21;9.252;0.1;32.55;0.008;0.002
MV22;8.627;0.116;29.34;0.045;0.007
MV23;8.836;0.094;25.08;0.085;0.085
MV24;9.823;0.052;29.58;0.135;0.003
MV25;8.56;0.078;36.48;0.066;0.006
MV26;8.674;0.026;37.05;0.034;0.008
MV27;8.678;0.247;28.85;0.022;0.003
MV28;10.097;0.216;26.07;0.193;0.083
